ID,From,To,Net,Kind,Sheet,Gauge,Status,Notes
W001,BT1:+,F0:IN,BAT+,power,power,실측 후 선정,hold,
W002,F0:OUT,S0:IN,BAT_FUSED,power,power,실측 후 선정,hold,
W003,S0:OUT,X24:IN,BUS24,power,power,실측 후 선정,hold,
W004,BT1:-,X0:BAT,0V,return,power,실측 후 선정,hold,
W005,X24:DRIVE,K1:L1,BUS24,power,power,실측 후 선정,hold,
W006,K1:T1,K2:L1,K_MID,power,power,실측 후 선정,hold,
W007,JDRV:OUT,F1:IN,IBT_BUS,power,power,실측 후 선정,hold,JDRV는 기본 개방. 29.2V 배터리 직결 금지.
W008,F1:OUT,PPL:IN+,FUSED_L,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W009,PPL:OUT+,MDL:B+,LINK_L,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W010,MDL:B+,CLL:+,LINK_L,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W011,MDL:B+,RBL:+,LINK_L,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W012,X0:ML,MDL:B-,0V,return,power,실측 후 선정,hold,
W013,MDL:B-,CLL:-,0V,return,power,실측 후 선정,hold,
W014,MDL:B-,RBL:-,0V,return,power,실측 후 선정,hold,
W015,MDL:B-,PPL:0V,0V,return,power,실측 후 선정,hold,
W016,MDL:M+,ML:A,ML_A,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W017,MDL:M-,ML:B,ML_B,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W018,ML:A,CML:1,ML_A,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W019,ML:B,CML:2,ML_B,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W020,JDRV:OUT,F2:IN,IBT_BUS,power,power,실측 후 선정,hold,JDRV는 기본 개방. 29.2V 배터리 직결 금지.
W021,F2:OUT,PPR:IN+,FUSED_R,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
