Component,Terminal,Net
BT1,+,BAT+
BT1,-,0V
BT1,CHG+,CHG+
BT1,CHG-,CHG-
F0,IN,BAT+
F0,OUT,BAT_FUSED
S0,IN,BAT_FUSED
S0,OUT,BUS24
X24,IN,BUS24
X24,DRIVE,BUS24
X24,AUX24,BUS24
X24,AUX5,BUS24
X0,BAT,0V
X0,ML,0V
X0,MR,0V
X0,DC1,0V
X0,DC2,0V
X0,SR,0V
X0,K1,0V
X0,K2,0V
X0,STEER,0V
K1,L1,BUS24
K1,T1,K_MID
K1,A1,K1_COIL
K1,A2,0V
K1,EDM_IN,EDM_START
K1,EDM_OUT,EDM_MID
Z1,+,K1_COIL
Z1,-,0V
K2,L1,K_MID
K2,T1,DRIVE24
K2,A1,K2_COIL
K2,A2,0V
K2,EDM_IN,EDM_MID
K2,EDM_OUT,EDM_END
Z2,+,K2_COIL
Z2,-,0V
F1,IN,IBT_BUS
F1,OUT,FUSED_L
PPL,IN+,FUSED_L
PPL,OUT+,LINK_L
PPL,0V,0V
MDL,B+,LINK_L
MDL,B-,0V
MDL,M+,ML_A
MDL,M-,ML_B
MDL,VCC,5V_MOTOR_IO
MDL,GND,0V
MDL,RPWM,MDL_RPWM
MDL,LPWM,MDL_LPWM
MDL,R_EN,MDL_REN
MDL,L_EN,MDL_LEN
CLL,+,LINK_L
CLL,-,0V
RBL,+,LINK_L
RBL,-,0V
ML,A,ML_A
ML,B,ML_B
CML,1,ML_A
CML,2,ML_B
F2,IN,IBT_BUS
F2,OUT,FUSED_R
PPR,IN+,FUSED_R
PPR,OUT+,LINK_R
PPR,0V,0V
MDR,B+,LINK_R
MDR,B-,0V
MDR,M+,MR_A
MDR,M-,MR_B
MDR,VCC,5V_MOTOR_IO
MDR,GND,0V
MDR,RPWM,MDR_RPWM
MDR,LPWM,MDR_LPWM
MDR,R_EN,MDR_REN
MDR,L_EN,MDR_LEN
CLR,+,LINK_R
CLR,-,0V
RBR,+,LINK_R
RBR,-,0V
MR,A,MR_A
MR,B,MR_B
CMR,1,MR_A
CMR,2,MR_B
F3,IN,BUS24
F3,OUT,DC1_IN
DC1,IN+,DC1_IN
DC1,IN-,0V
DC1,OUT+,SAFE24
DC1,OUT-,0V
F9,IN,SAFE24
F9,OUT,SAFE24_F
SR1,24V,SAFE24_F
SR1,0V,0V
SR1,TEST_A,ESTOP_A_OUT
SR1,RETURN_A,ESTOP_A_IN
SR1,TEST_B,ESTOP_B_OUT
SR1,RETURN_B,ESTOP_B_IN
SR1,RESET_OUT,RESET_OUT
SR1,RESET_IN,RESET_IN
SR1,EDM_OUT,EDM_START
SR1,EDM_IN,EDM_END
SR1,O1_FEED,SAFE24_F
SR1,O1,K1_COIL
SR1,O2_FEED,SAFE24_F
SR1,O2,K2_COIL
S1,A_IN,ESTOP_A_OUT
S1,A_OUT,ESTOP_A_IN
S1,B_IN,ESTOP_B_OUT
S1,B_OUT,ESTOP_B_IN
S2,IN,RESET_OUT
S2,OUT,RESET_IN
F4,IN,BUS24
F4,OUT,DC2_IN
DC2,IN+,DC2_IN
DC2,IN-,0V
DC2,OUT+,5V_RAW
DC2,OUT-,0V
OV5,IN+,5V_RAW
OV5,OUT+,5V_PROT
OV5,0V,0V
F7,IN,5V_PROT
F7,OUT,OPI5
F8,IN,5V_PROT
F8,OUT,HUB5
OP1,PWR5,OPI5
OP1,PWR0,0V
OP1,HOST,USB_UP
H1,DC5,HUB5
H1,DC0,0V
H1,UP,USB_UP
H1,P1,USB_ESP
H1,P2,USB_LIDAR
H1,P3,USB_UWL
H1,P4,USB_UWR
